ID,address,city,country,name,postalCode,state
2816,2918 20th Ave,Valley,US,Krystal,36854,AL
2817,9215 Evan Way,Bluffton,US,Wendy's,29910,SC
2818,8548 Grahamville Rd,Ridgeland,US,McDonald's,29936,SC
2819,2370 S Val Vista Dr,Gilbert,US,Raising Cane's Chicken Fingers,85295,AZ
2820,1731 Reidville Rd,Spartanburg,US,Arby's,29301,SC
2821,615 S. Main Street,Ashland City,US,SONIC Drive In,37015,TN
2822,1792 Hwy 14 East,Landrum,US,Bojangles' Famous Chicken 'n Biscuits,29356,SC
2823,1905 S Church St,Murfreesboro,US,Wendy's,37130,TN
2824,4114 Hillsboro Rd,Nashville,US,McDonald's,37215,TN
2825,401 South Main Street,Ashland City,US,Taco Bell,37015,TN
2826,2421 West Palmetto Street,Florence,US,SONIC Drive In,29501,SC
2827,1520 State St,Racine,US,McDonald's,53404,WI
2828,295 New Frantz Road,Bartonsville,US,Sonic Drive-In,18321,PA
2829,2400 Mt Rushmore Rd,Rapid City,US,Arby's,57701,SD
2830,143 Gold Star Hwy,Groton,US,Five Guys,6340,CT
2831,803 Foothills Dr,Maryville,US,McDonald's,37801,TN
2832,7339 Kingston Pike,Knoxville,US,QDOBA Mexican Eats,37919,TN
2833,1217 Oak Ridge Turnpike,Oak Ridge,US,Krystal,37830,TN
2834,1035 I 35 W,New Braunfels,US,McDonald's,78130,TX
2835,5015 Westheimer Rd Ste 1340,Houston,US,McDonald's,77056,TX
2836,5015 Westheimer Rd Ste 1300,Houston,US,Taco Bell,77056,TX
2837,5324 4th St NW,Albuquerque,US,McDonald's,87107,NM
2838,5647 Dorchester Rd,North Charleston,US,Taco Bell,29418,SC
2839,3298 N State Road 7,Fort Lauderdale,US,KFC,33319,FL
2840,1690 White Bear Ave N,Saint Paul,US,SUBWAY,55109,MN
2841,3033 Winchester Ave,Ashland,US,Captain D's,41101,KY
2842,1687 W State Highway 46,New Braunfels,US,Whataburger,78132,TX
2843,235 W Woodrow Wilson Ave,Jackson,US,Captain D's,39213-7646,AL
2844,6860 N Oak Trfy,Kansas City,US,Captain D's,64118,MO
2845,1817 Ashville Rd,Leeds,US,Captain D's,35094,AL
